Source sentence,Answer sentence
replace entity to label : Liming in the recharge area is partially effective to ameliorate '' shallow '' groundwater but largely fails to ameliorate '' deeper '' groundwater in the sandstone aquifer .,replaced sentence is : Liming in the recharge area is partially effective to ameliorate GroundwaterType but largely fails to ameliorate GroundwaterType in the AquiferType .
"replace entity to label : The time series of groundwater level were monitored over a spring-neap tidal cycle along a 200-m-long intertidal transect , which had a mud-sand-layered aquifer .","replaced sentence is : The time series of groundwater level were monitored over a spring-neap tidal cycle along a 200-m-long intertidal transect , which had a AquiferType ."
"replace entity to label : A hydrogeological and hydrogeochemical survey in the Cumae archaeological site ( Phlegraean Fields , southern Italy ) together with radon levels determination in groundwater have been carried out .","replaced sentence is : A hydrogeological and hydrogeochemical survey in the Location ( Location , Location ) together with radon levels determination in groundwater have been carried out ."
replace entity to label : Fracture water ascending along a buried normal fault and lateral inflow from the proluvial fan feed the unconfined aquifer in the alluvial fan / plain .,replaced sentence is : Fracture water ascending along a buried normal fault and lateral inflow from the proluvial fan feed the AquiferType in the alluvial fan / plain .
replace entity to label : Irrigation water supply wells and groundwater monitoring wells sampled in the alluvial aquifer of the Condamine River ( Queensland .,replaced sentence is : Irrigation water supply wells and groundwater monitoring wells sampled in the AquiferType of the Location ( Location .
replace entity to label : Majority of the samples show Mix-Cl-SO4- and Na-Cl-types water .,replaced sentence is : Majority of the samples show HydrochemicalType and HydrochemicalType water .
replace entity to label : Zones with a strong clogging capacity correspond to the zones with slow transit groundwater .,replaced sentence is : Zones with a strong clogging capacity correspond to the zones with GroundwaterType .
replace entity to label : the aquifer of San Luis Potosi valley located in the highlands of the central part of Mexico .,replaced sentence is : the aquifer of Location located in the Location .
"replace entity to label : A combination of multivariate statistical techniques , simple hydrochemical mixing models and inverse geochemical modelling was used to investigate the major hydrochemical evolutionary pathways of a large alluvial aquifer , the upper Condamine River alluvium , south-east Queensland , Australia .","replaced sentence is : A combination of multivariate statistical techniques , simple hydrochemical mixing models and inverse geochemical modelling was used to investigate the major hydrochemical evolutionary pathways of a large AquiferType , the Location , Location , Location ."
"replace entity to label : Hydrochemistry of the aquifer shows a strong interseasonal variability where Mg-HCO3 and Mg-Ca-HCO3 water types are prevalent , reflecting the influence of ophiolitic and carbonate rocks on local groundwater chemistry .","replaced sentence is : Hydrochemistry of the aquifer shows a strong interseasonal variability where HydrochemicalType and HydrochemicalType water types are prevalent , reflecting the influence of RockType on local groundwater chemistry ."
"replace entity to label : Analytical data of groundwater samples collected from weathered and deep fractured zones in the Precambrian charnockite aquifers in Kerala , India , have been studied to understand their hydrochemical variations and reasons thereof.Principal component analysis of the data suggests that contamination from anthropogenic sources has a major role in determining the hydrochemical characteristics of groundwater in the weathered zone unlike in the case of fractured aquifers where water-rock interaction is the major factor responsible .","replaced sentence is : Analytical data of groundwater samples collected from weathered and deep fractured zones in the AquiferType in Location , Location , have been studied to understand their hydrochemical variations and reasons thereof.Principal component analysis of the data suggests that contamination from anthropogenic sources has a major role in determining the hydrochemical characteristics of groundwater in the weathered zone unlike in the case of AquiferType where water-rock interaction is the major factor responsible ."
"replace entity to label : The inter- pretation of VES data revealed confined to unconfined aquifer systems , furthermore , the aquifer thickness ranges between 5-95 m with the resistivity values of 10-70 Ohm m .","replaced sentence is : The inter- pretation of VES data revealed AquiferType systems , furthermore , the aquifer thickness ranges between 5-95 m with the resistivity values of 10-70 Ohm m ."
"replace entity to label : In order to understand underground circulation in the limestone / dolomite foundation of the Vouglans dam ( Jura , France ) , groundwater chemistry analysis , according to geological conditions , is used .","replaced sentence is : In order to understand underground circulation in the RockType / RockType foundation of the Location ( Location , Location ) , groundwater chemistry analysis , according to geological conditions , is used ."
replace entity to label : The hydrochemical facies shows that most of the water samples are of mixed type .,replaced sentence is : The hydrochemical facies shows that most of the water samples are of mixed type .
"replace entity to label : The groundwater in the mining area was strongly affected by human activity , deep groundwater mixing effect , and water-rock interaction associated with mining activities .","replaced sentence is : The groundwater in the mining area was strongly affected by human activity , deep groundwater mixing effect , and water-rock interaction associated with mining activities ."
"replace entity to label : A hydrochemical-isotopic investigation of the Laizhou Bay Quaternary aquifer in north China provides new insights into the hydrodynamic and geochemical relationships between freshwater , seawater and brine at different depths in coastal sediments .","replaced sentence is : A hydrochemical-isotopic investigation of the AquiferType in Location provides new insights into the hydrodynamic and geochemical relationships between freshwater , seawater and brine at different depths in coastal sediments ."
"replace entity to label : Groundwater samples were collected and examined for major , minor , and trace elements .","replaced sentence is : Groundwater samples were collected and examined for major , minor , and trace elements ."
replace entity to label : The groundwater model ages decrease from recent values in the Quaternary aquifer to approximately 15 kyr at a depth of approximately 200 m in the Tertiary aquifer .,replaced sentence is : The groundwater model ages decrease from recent values in the AquiferType to approximately 15 kyr at a depth of approximately 200 m in the AquiferType .
replace entity to label : The groundwater chemical composition of the Rhone alluvial aquifer indicates a mixing of weakly mineralized Rhone River water and SO4-rich water entering from the south side of the valley .,replaced sentence is : The groundwater chemical composition of the AquiferType indicates a mixing of weakly mineralized Rhone River water and SO4-rich water entering from the south side of the valley .
"replace entity to label : Relatively higher F- toxicity levels were associated with the NaHCO3 water type , and the chemical facies were found to change from the CaHCO3 to ( Na-HCO3 ) type in calcium-poor aquifers .","replaced sentence is : Relatively higher F- toxicity levels were associated with the HydrochemicalType water type , and the chemical facies were found to change from the HydrochemicalType to ( HydrochemicalType ) type in AquiferType ."
"replace entity to label : In the study area , the compositions of the stable isotopes delta ( 18 ) O and delta D in groundwater samples were found to range from -4.00 to -9.28% and from -34.0 to -65.0% , respectively .","replaced sentence is : In the study area , the compositions of the stable isotopes delta ( 18 ) O and delta D in groundwater samples were found to range from -4.00 to -9.28% and from -34.0 to -65.0% , respectively ."
"replace entity to label : It was shown that after heavy pumping ceased , the freshening time for the original coastal aquifer ranged from 20 to over 80 years .","replaced sentence is : It was shown that after heavy pumping ceased , the freshening time for the original coastal aquifer ranged from 20 to over 80 years ."
replace entity to label : The groundwater aquifer at the research area is in an alluvium unit with a typology of coastal alluvial sediment aquifer system with a confined aquifer of Ca-HCO3 and Mg-SO4 facies .,replaced sentence is : The groundwater aquifer at the research area is in an alluvium unit with a typology of AquiferType system with a AquiferType of HydrochemicalType and HydrochemicalType facies .
"replace entity to label : Shallow groundwater has an elevated level of nitrate , which is attributed to anthropogenic sources due to intensive agricultural activity .","replaced sentence is : GroundwaterType has an elevated level of nitrate , which is attributed to anthropogenic sources due to intensive agricultural activity ."
replace entity to label : The heterogeneous Plio-Quaternary coastal aquifer of the Mamora Basin is the most significant reservoir of Morocco .,replaced sentence is : The heterogeneous AquiferType of the Location is the most significant reservoir of Location .
replace entity to label : This fact has caused a lowering of the water table and of the calcite saturation index in recharge areas and simultaneously an increase of water table and flow rate in discharge zones .,replaced sentence is : This fact has caused a lowering of the water table and of the calcite saturation index in recharge areas and simultaneously an increase of water table and flow rate in discharge zones .
"replace entity to label : The second group has intermediate salinity ( 1 ,000<TDS<2 ,000mg / l ) and Ca-Na water type .","replaced sentence is : The second group has intermediate salinity ( 1 ,000<TDS<2 ,000mg / l ) and HydrochemicalType water type ."
"replace entity to label : Piper plot reveals groundwater mixing as Ca + Mg - Cl + SO4 facies , mixed Ca + Mg - Cl + SO4 facies and Na + K + Cl + SO4 facies is present in the study area .","replaced sentence is : Piper plot reveals groundwater mixing as HydrochemicalType facies , mixed HydrochemicalType facies and HydrochemicalType facies is present in the study area ."
replace entity to label : Twenty-four samples during the wet season and even during the dry season are analyzed .,replaced sentence is : Twenty-four samples during the wet season and even during the dry season are analyzed .
"replace entity to label : Riparian seep fluxes ranged from 45 to 217 m ( 3 ) / d , transporting 0.6-4.2 kg N d ( -1 ) of nitrate-N from the fractured bedrock aquifer to the stream .","replaced sentence is : Riparian seep fluxes ranged from 45 to 217 m ( 3 ) / d , transporting 0.6-4.2 kg N d ( -1 ) of nitrate-N from the AquiferType to the stream ."
"replace entity to label : Based on the geological and hydrologic data , the generation , enrichment , and transportation of iron ( Fe ) and manganese ( Mn ) ions in Yimin open-pit mining area were investigated using water quality analysis of groundwater samples , Statistical Product and Service Solutions ( SPSS ) principal component analysis , and geostatistics analysis by Geographic Information System ( GIS ) .","replaced sentence is : Based on the geological and hydrologic data , the generation , enrichment , and transportation of iron ( Fe ) and manganese ( Mn ) ions in Yimin open-pit mining area were investigated using water quality analysis of groundwater samples , Statistical Product and Service Solutions ( SPSS ) principal component analysis , and geostatistics analysis by Geographic Information System ( GIS ) ."
"replace entity to label : Elevated As concentration mostly occurred in shallow aquifers , which was associated with reducing conditions .","replaced sentence is : Elevated As concentration mostly occurred in AquiferType , which was associated with reducing conditions ."
"replace entity to label : The Cretaceous Serra Geral Aquifer ( SGA ) is contained within one of the largest continental flood basalts in the world , reaching a thickness up to 1700 m in the center of the Parana Basin .","replaced sentence is : The AquiferType ( SGA ) is contained within one of the largest continental flood RockType in the world , reaching a thickness up to 1700 m in the Location ."
"replace entity to label : Confinement is related to tufa layers , detected both by drilling and reflection seismology .","replaced sentence is : Confinement is related to RockType layers , detected both by drilling and reflection seismology ."
"replace entity to label : For this reason , the sustainable improvement of the ecological environment should be based on the shallow groundwater recharge of the phreatic aquifer in the Ejina Delta , which mainly takes place via seepage through the riverbed and direct infiltration during periods of environmental flow control .","replaced sentence is : For this reason , the sustainable improvement of the ecological environment should be based on the GroundwaterType recharge of the AquiferType in the Location , which mainly takes place via seepage through the riverbed and direct infiltration during periods of environmental flow control ."
"replace entity to label : , As , Fe , Mn , NH4 , and SO4 ) indicate overlapping redox zones , leading to differences regarding the redox equilibrium .","replaced sentence is : , As , Fe , Mn , NH4 , and SO4 ) indicate overlapping redox zones , leading to differences regarding the redox equilibrium ."
replace entity to label : This study investigated the geological characteristics of strata in Chongqing and the tunneling-induced geo-hazards therein .,replaced sentence is : This study investigated the geological characteristics of strata in Location and the tunneling-induced geo-hazards therein .
replace entity to label : High groundwater salinities are observed near the coast and in some parts having low topographic and piezometric levels .,replaced sentence is : High groundwater salinities are observed near the coast and in some parts having low topographic and piezometric levels .
replace entity to label : The present study aims to assess the hydrochemistry of the Eocene carbonate aquifer and the possible recharge sources to this aquifer in the western desert west of El-Minia district .,replaced sentence is : The present study aims to assess the hydrochemistry of the AquiferType and the possible recharge sources to this aquifer in the Location .
replace entity to label : The objectives of this research are to investigate the As speciation and groundwater chemistry occurring due to different hydrogeological settings and the influence of human activities and to explain the mechanism of As release in the coastal alluvial aquifers in Rayong Province using multivariate statistical techniques and hydrogeochemical modeling ( PHREEQC ) .,replaced sentence is : The objectives of this research are to investigate the As speciation and groundwater chemistry occurring due to different hydrogeological settings and the influence of human activities and to explain the mechanism of As release in the AquiferType in Location using multivariate statistical techniques and hydrogeochemical modeling ( PHREEQC ) .
replace entity to label : The Cambrian-Ordovician carbonate outcrops form the main recharge area of this aquifer system with a recharge rate estimated from two methods up to 48 to 64 mm per year .,replaced sentence is : The GeologicAge carbonate outcrops form the main recharge area of this aquifer system with a recharge rate estimated from two methods up to 48 to 64 mm per year .
"replace entity to label : Thus , this study appraised groundwater fluoride hydrochemistry in a multi-aquifer system in Jilin Qianan to determine the non-carcinogenic health risk liable from exploiting the respective aquifers .","replaced sentence is : Thus , this study appraised groundwater fluoride hydrochemistry in a multi-aquifer system in Location to determine the non-carcinogenic health risk liable from exploiting the respective aquifers ."
replace entity to label : The water-level monitoring results suggested distinct local-scale flow systems for both a Holocene unconfined aquifer ( HUA ) and Pleistocene confined aquifer ( PCA ) .,replaced sentence is : The water-level monitoring results suggested distinct local-scale flow systems for both a AquiferType ( HUA ) and AquiferType ( PCA ) .
"replace entity to label : Hydrochemical characteristics of thermal groundwater in northern Jinan geothermal field , where Ordovician carbonate rocks are the main thermal reservoir , were examined and characterized by SO4-Ca , SO4-Ca center dot Na , SO4 center dot Cl-Ca center dot Na and Cl center dot SO4-Na center dot Ca types .","replaced sentence is : Hydrochemical characteristics of GroundwaterType in Location geothermal field , where GeologicAge RockType are the main thermal reservoir , were examined and characterized by HydrochemicalType , HydrochemicalType , HydrochemicalType and HydrochemicalType types ."
"replace entity to label : The evolution of these water types is potentially influenced by overlying sodic alkaline soils , and often is associated with a source of sulfate .","replaced sentence is : The evolution of these water types is potentially influenced by overlying sodic alkaline soils , and often is associated with a source of sulfate ."
replace entity to label : In the alluvial aquifer two types of water are identified : magnesic-bicarbonated and sulphate-magnesic .,replaced sentence is : In the AquiferType two types of water are identified : HydrochemicalType and HydrochemicalType .
"replace entity to label : In the Grombalia region , Cap Bon Peninsula , northeastern Tunisia , large expansion of groundwater pumping from the shallow , unconfined aquifer .","replaced sentence is : In the Location , Location , Location , large expansion of groundwater pumping from the AquiferType ."
replace entity to label : The study reveals a pronounced seasonal hydrochemical variation in the limestone aquifer .,replaced sentence is : The study reveals a pronounced seasonal hydrochemical variation in the AquiferType .
replace entity to label : The oxidation of pyrite is often one of the main drivers affecting groundwater quality during managed aquifer recharge in deep aquifers .,replaced sentence is : The oxidation of pyrite is often one of the main drivers affecting groundwater quality during managed aquifer recharge in AquiferType .
"replace entity to label : We report Sr-87 / Sr-86 and ion concentrations of sulfate , chloride , and strontium in the groundwater of the northern and central Yucatan Peninsula , Mexico .","replaced sentence is : We report Sr-87 / Sr-86 and ion concentrations of sulfate , chloride , and strontium in the groundwater of the Location , Location ."
replace entity to label : the water chemistry of GW in the NSP was mainly of the SO4 .,replaced sentence is : the water chemistry of GW in the NSP was mainly of the SO4 .
"replace entity to label : A hydrogeochemical study was carried out on the shallow groundwater system of the weathered regolith aquifer within Ibadan Metropolis , with the objective of determining geochemical characteristics as well as identifying the influence of household activities on both chemical and microbiological quality status .","replaced sentence is : A hydrogeochemical study was carried out on the GroundwaterType system of the AquiferType within Location , with the objective of determining geochemical characteristics as well as identifying the influence of household activities on both chemical and microbiological quality status ."
replace entity to label : Two main hydrochemical facies were recognized and divide the aquifer in two portions .,replaced sentence is : Two main hydrochemical facies were recognized and divide the aquifer in two portions .
replace entity to label : This study assesses whether gypsum in the Whitehill Formation is connected to acid rock drainage ( ARD ) resulting from reactions between the pyrite-bearing shale and carbonaceous rocks .,replaced sentence is : This study assesses whether gypsum in the StratigraphicGroupType is connected to acid rock drainage ( ARD ) resulting from reactions between the pyrite-bearing RockType .
"replace entity to label : Ionic concentrations , TDS , EC and water quality are related to groundwater residence time and groundwater types .","replaced sentence is : Ionic concentrations , TDS , EC and water quality are related to groundwater residence time and groundwater types ."
"replace entity to label : Located in northwestern Tunisia , Oum Ali-Thelepte is a deep Miocene sedimentary aquifer , where groundwater is the most important source of water supply .","replaced sentence is : Located in Location , Oum Ali-Thelepte is a AquiferType , where groundwater is the most important source of water supply ."
replace entity to label : The hydrochemical types changed from HCO3 -- CO32- facies to SO42 -- Cl facies during 10 years .,replaced sentence is : The hydrochemical types changed from HydrochemicalType facies to HydrochemicalType facies during 10 years .
"replace entity to label : Through monitoring of groundwater and simulation , we found that the low-permeability highly weathered rock can restrict the activity of the lower aquifer , resulting in a rapid rise of pore pressure and formation of confined water in response to rainfall , which can lead to slope failure .","replaced sentence is : Through monitoring of groundwater and simulation , we found that the low-permeability highly weathered rock can restrict the activity of the AquiferType , resulting in a rapid rise of pore pressure and formation of GroundwaterType in response to rainfall , which can lead to slope failure ."
replace entity to label : The MGWB in southwestern Poland have an average modulus of groundwater resources about 2.28 L / s / km ( 2 ) and thus have abundant water resources in comparison to MGWB from other parts of the country .,replaced sentence is : The MGWB in Location have an average modulus of groundwater resources about 2.28 L / s / km ( 2 ) and thus have abundant water resources in comparison to MGWB from other parts of the country .
"replace entity to label : In this study , hydrochemical characteristics and factors influencing As distribution and release were investigated in Prayagpur , Southwestern Bangladesh .","replaced sentence is : In this study , hydrochemical characteristics and factors influencing As distribution and release were investigated in Location , Location ."
replace entity to label : A hydrochemical study on the coastal aquifers were collected initiated to determine the factors affecting the groundwater chemistry in South India .,replaced sentence is : A hydrochemical study on the AquiferType were collected initiated to determine the factors affecting the groundwater chemistry in Location .
replace entity to label : Chemical and environmental isotope data are presented and discussed in terms of the origin of dissolved species and of groundwater .,replaced sentence is : Chemical and environmental isotope data are presented and discussed in terms of the origin of dissolved species and of groundwater .
"replace entity to label : Oligocene , Miocene , and Pleistocene aquifers were detected in the east Nile Delta region .",replaced sentence is : AquiferType were detected in the Location .
"replace entity to label : The thin-film dawsonite in coal measure strata was analyzed to investigate the evolution of carbon in supercritical CO2 after CCUS , as it provides a possible example of the formation of carbonate minerals from a wet supercritical CO2 fluid .","replaced sentence is : The thin-film dawsonite in coal measure strata was analyzed to investigate the evolution of carbon in supercritical CO2 after CCUS , as it provides a possible example of the formation of carbonate minerals from a wet supercritical CO2 fluid ."
replace entity to label : A two-tier aquifer system made up of Quaternary sand layers exists within 300 m below ground .,replaced sentence is : A AquiferType system made up of GeologicAge sand layers exists within 300 m below ground .
"replace entity to label : The aquifer of Sipadan Island , off the eastern coast of Borneo , Malaysia , had been found to be affected by seawater intrusion associated with excessive groundwater exploitation , based on hydrochemical analytical work of 1993-2004 .","replaced sentence is : The aquifer of Location , off the Location , Location , had been found to be affected by seawater intrusion associated with excessive groundwater exploitation , based on hydrochemical analytical work of 1993-2004 ."
replace entity to label : The present survey indicates that the groundwater encountered at majority of the sampling locations is of Na+-SO4 ( 2- ) category and constitutes deep meteoric percolation type and the same at the remaining similar to 32% of the sampling locations relates to Na+-HCO3- category and belongs to shallow meteoric percolation class .,replaced sentence is : The present survey indicates that the groundwater encountered at majority of the sampling locations is of HydrochemicalType ( 2- ) category and constitutes deep meteoric percolation type and the same at the remaining similar to 32% of the sampling locations relates to HydrochemicalType category and belongs to shallow meteoric percolation class .
"replace entity to label : The aquifers have distinct hydrochemical characteristics , acidic pH and Na-HCO3 waters in the Quaternary Aquifer , pH similar to 8 and Ca-HCO3 and Na-HCO3 waters in the Ica-Solimoes Aquifer , and neutral pH and Ca-HCO3 waters in the lower Tikuna Aquifer system .","replaced sentence is : The aquifers have distinct hydrochemical characteristics , acidic pH and HydrochemicalType waters in the AquiferType , pH similar to 8 and HydrochemicalType and HydrochemicalType waters in the AquiferType , and neutral pH and HydrochemicalType waters in the lower AquiferType system ."
replace entity to label : Goals .,replaced sentence is : Goals .
"replace entity to label : , paleo-seawater , infiltrating rain , and the K-rich groundwater ) .","replaced sentence is : , paleo-seawater , infiltrating rain , and the K-rich groundwater ) ."
"replace entity to label : The content is in the order HCO3-> Cl-> SO42- for anions , and Ca2+> Na+> Mg2+ for cations .","replaced sentence is : The content is in the order HCO3-> Cl-> SO42- for anions , and Ca2+> Na+> Mg2+ for cations ."
"replace entity to label : Results showed that salinity was due mainly to seawater intrusion , especially in the first kilometers from the ocean covering the first group of wells .","replaced sentence is : Results showed that salinity was due mainly to seawater intrusion , especially in the first kilometers from the ocean covering the first group of wells ."
"replace entity to label : Moreover , the lack of casing in the boreholes permits a mixing of groundwater from distinct layers inside the wells , which negates any benefits from the low-nitrate groundwater found in the deepest aquifer layers .","replaced sentence is : Moreover , the lack of casing in the boreholes permits a mixing of groundwater from distinct layers inside the wells , which negates any benefits from the GroundwaterType found in the AquiferType layers ."
"replace entity to label : The order of major cations and anions obtained during the dry and raining seasons are Na+ Mg2+ Ca2+ K+ and Cl- HCO3- SO42- CO3- > F-NO3- , respectively .","replaced sentence is : The order of major cations and anions obtained during the dry and raining seasons are Na+ Mg2+ Ca2+ K+ and Cl- HCO3- SO42- CO3- > F-NO3- , respectively ."
replace entity to label : Cluster 1 contained locations that have an analogous concentration of pH and temperature .,replaced sentence is : Cluster 1 contained locations that have an analogous concentration of pH and temperature .
"replace entity to label : In contrast , the concentrations of alkaline earth elements ( Mg , Ca , Sr , Ba ) and Mn were high in the rock and groundwater samples .","replaced sentence is : In contrast , the concentrations of alkaline earth elements ( Mg , Ca , Sr , Ba ) and Mn were high in the rock and groundwater samples ."
"replace entity to label : It pertains to Ca2+-Mg2+-HCO3- , mixed , and Na+-Cl- hydrochemical facies .","replaced sentence is : It pertains to HydrochemicalType , mixed , and HydrochemicalType hydrochemical facies ."
replace entity to label : The studied area was selected for its characteristic hydrogeological setting .,replaced sentence is : The studied area was selected for its characteristic hydrogeological setting .
"replace entity to label : The major GHFs categories progressively change in the direction of groundwater flow from HCO3-Ca+Mg to HCO3-Na+K+Ca+Mg , then to HCO3-Na+K+Ca , and then to HCO3-Na+K .","replaced sentence is : The major GHFs categories progressively change in the direction of groundwater flow from HydrochemicalType to HydrochemicalType , then to HydrochemicalType , and then to HydrochemicalType ."
"replace entity to label : The studied system contains three major groundwater types , namely Ca-Mg-HCO3 , Na-Cl , and non-dominant water , based on the analysis of the major ions .","replaced sentence is : The studied system contains three major groundwater types , namely HydrochemicalType , HydrochemicalType , and non-dominant water , based on the analysis of the major ions ."
"replace entity to label : However , no enrichment of delta N-15 and delta O-18 in nitrate , typical for microbial nitrate degradation , is observed in the lake water .","replaced sentence is : However , no enrichment of delta N-15 and delta O-18 in nitrate , typical for microbial nitrate degradation , is observed in the lake water ."
"replace entity to label : ( 2 ) Permian sandstone aquifer is to a certain extent affected by mining , which shows a relatively closed hydrogeological environment in most areas of coal mine and an opened environment in some areas with time .","replaced sentence is : ( 2 ) AquiferType is to a certain extent affected by mining , which shows a relatively closed hydrogeological environment in most areas of coal mine and an opened environment in some areas with time ."
"replace entity to label : This study analysed the sulphur ( delta S-34-SO4 ) and oxygen ( delta O-18-SO4 ) isotopes of sulphate in precipitation , water-extractable soil water , and shallow groundwater samples and used these data along with hydrochemical data to determine the sources of sulphate in the thick unsaturated zone and groundwater of a loess aquifer .","replaced sentence is : This study analysed the sulphur ( delta S-34-SO4 ) and oxygen ( delta O-18-SO4 ) isotopes of sulphate in precipitation , water-extractable soil water , and GroundwaterType samples and used these data along with hydrochemical data to determine the sources of sulphate in the thick unsaturated zone and groundwater of a AquiferType ."
replace entity to label : The Torrevieja coastal aquifer gathers all these challenges with limited information available and essential questions about the aquifer functioning .,replaced sentence is : The AquiferType gathers all these challenges with limited information available and essential questions about the aquifer functioning .
replace entity to label : This study is important for identifying sulphate sources and clarifying the proper method for estimating the recharge rate in loess aquifers .,replaced sentence is : This study is important for identifying sulphate sources and clarifying the proper method for estimating the recharge rate in AquiferType .
replace entity to label : Preliminary mass balance modelling suggests that between 10 and 38% of groundwater volume was due to leakage of aquitard pore waters .,replaced sentence is : Preliminary mass balance modelling suggests that between 10 and 38% of groundwater volume was due to leakage of aquitard GroundwaterType .
"replace entity to label : Generally , groundwater was undersaturated with respect to both calcite and dolomite while oversaturated with respect to halite , goethite and hematite .","replaced sentence is : Generally , groundwater was undersaturated with respect to both calcite and dolomite while oversaturated with respect to halite , goethite and hematite ."
"replace entity to label : The higher As concentrations were found in Khardung volcanics followed by Ophiolitic melange , Dras volcanics , Nindam sandstone , and Nindam Shale .","replaced sentence is : The higher As concentrations were found in RockType followed by RockType , RockType , RockType , and RockType ."
replace entity to label : Groundwater in the study area occurs in the alluvial aquifers and has an intense agricultural production .,replaced sentence is : Groundwater in the study area occurs in the AquiferType and has an intense agricultural production .
"replace entity to label : Hydrochemical modelling and analysis of calcite saturation indices and CO2 partial pressures enabled differentiation between five groups of springs: ( 1 ) Those stemming from infiltration influenced by biological processes within the topsoil layer in addition to significant influence of carbonaceous mica-schists ; ( 2 ) Springs from infiltration areas with only a limited top soil layer but with significant influence of carbonaceous mica-schists and possibly gneiss ; ( 3 ) Springs that infiltrated under the influence of biological processes within the topsoil layer , but with no significant influence of carbonaceous mica-schists ; ( 4 ) Springs that infiltrated with only a minor influence of top soil layers , without influence of carbonaceous mica-schists , but with possible influence of gneiss ; ( 5 ) Springs from infiltration areas with neither influence of the top soil layer nor influence of any connected aquifer .","replaced sentence is : Hydrochemical modelling and analysis of calcite saturation indices and CO2 partial pressures enabled differentiation between five groups of springs: ( 1 ) Those stemming from infiltration influenced by biological processes within the topsoil layer in addition to significant influence of carbonaceous mica-schists ; ( 2 ) Springs from infiltration areas with only a limited top soil layer but with significant influence of RockType and possibly RockType ; ( 3 ) Springs that infiltrated under the influence of biological processes within the topsoil layer , but with no significant influence of RockType ; ( 4 ) Springs that infiltrated with only a minor influence of top soil layers , without influence of RockType , but with possible influence of RockType ; ( 5 ) Springs from infiltration areas with neither influence of the top soil layer nor influence of any connected aquifer ."
"replace entity to label : Sedimentary bedrock at the NAWC research site comprises the Skunk Hollow , Byram , and Ewing Creek Members of the Lockatong Formation and Raven Rock Member of the Stockton Formation .","replaced sentence is : Sedimentary bedrock at the NAWC research site comprises the Skunk Hollow , Byram , and Ewing Creek Members of the StratigraphicGroupType and Raven Rock Member of the StratigraphicGroupType ."
